text,intent,response
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Su içme,general_health,Günde en az 8 bardak su için.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Göğsümde ağrı çok şiddetli,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Su içme,general_health,Günde en az 8 bardak su için.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Su içme,general_health,Günde en az 8 bardak su için.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Su içme,general_health,Günde en az 8 bardak su için.
Bye,goodbye,Bye! Her zaman buradayım.
Bu sabah başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Bu sabah başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Başım ağrıyor,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Ateşim var çok şiddetli,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Diz ağrım var çok şiddetli,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Su içme,general_health,Günde en az 8 bardak su için.
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Göğsümde ağrı var,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Çarpıntı çok şiddetli,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Çocuk doktoru,doctor_recommendation,Çocuklar için pediatri uzmanı.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Bu sabah mide bulantım var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Bu sabah uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Nasılsın,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Hoşçakal,goodbye,Hoşçakalın! Kendinize iyi bakın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Uyku düzeni,general_health,7-9 saat düzenli uyku önemli.
Uykusuzluk var,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Teşekkürler,goodbye,Rica ederim! Sağlıklı kalın.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Boğazım ağrıyor var,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Göz doktoru randevusu,appointment_booking,Göz doktoru için online sistem kullanın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Görüşürüz,goodbye,Görüşmek üzere! İyi günler.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Su içme,general_health,Günde en az 8 bardak su için.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Bye,goodbye,Bye! Her zaman buradayım.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Bu sabah diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Çarpıntı var,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Mide bulantım var var,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
Bu sabah diz ağrım var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Sırtım ağrıyor çok şiddetli,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Uykusuzluk,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Sırtım ağrıyor var,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Bu sabah sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Su içme,general_health,Günde en az 8 bardak su için.
Su içme,general_health,Günde en az 8 bardak su için.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Bu sabah çarpıntı,symptom_inquiry,"Çarpıntı için derin nefes alın, sürekli olursa kardiyolog görün."
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Yorgunluk var,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Stres yönetimi,general_health,Stres için nefes egzersizleri ve meditasyon faydalı.
Boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Nasılsın sağlık asistanı,greeting,"İyiyim, teşekkürler! Size nasıl yardımcı olabilirim?"
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Sırtım ağrıyor,symptom_inquiry,Sırt ağrısı için doğru oturuş ve hafif egzersiz faydalı.
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Uykusuzluk çok şiddetli,symptom_inquiry,Uyku düzeni için düzenli saatler ve rahat ortam önemli.
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Hey sağlık asistanı,greeting,Hey! Size nasıl yardımcı olabilirim?
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Kalp problemi doktor,doctor_recommendation,Kalp sorunları için kardiyoloji.
Kalp krizi,emergency,Kalp krizi şüphesinde hemen 112'yi arayın!
Mide bulantım var çok şiddetli,symptom_inquiry,"Bulantı için az ve sık yemek yiyin, zencefil çayı faydalı."
İlaç dozu,medication_info,İlaç dozu doktor önerisi ile belirlenir.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Bayıldım,emergency,Bayılma durumunda 112'yi arayın.
Antibiyotik kullanımı,medication_info,Antibiyotik doktor reçetesi ile kullanılır.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Egzersiz önerileri,general_health,Haftada 150 dakika orta tempolu egzersiz yapın.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Merhaba sağlık asistanı,greeting,Merhaba! Size nasıl yardımcı olabilirim?
Yorgunluk çok şiddetli,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Bu sabah boğazım ağrıyor,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Baş ağrısı hangi doktor,doctor_recommendation,Baş ağrısı için nöroloji veya dahiliye.
Bu sabah yorgunluk,symptom_inquiry,Sürekli yorgunluk anemi veya tiroid sorunu belirtisi olabilir.
Ateşim var var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Diz ağrım var var,symptom_inquiry,Diz ağrısı için dinlenme ve soğuk kompres uygulayın.
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Cilt problemi doktor,doctor_recommendation,Cilt için dermatoloji uzmanı.
İyi günler sağlık asistanı,greeting,İyi günler! Sağlık konularında yardımcıyım.
Boğazım ağrıyor çok şiddetli,symptom_inquiry,Boğaz ağrısı için ılık tuzlu su ile gargara yapabilirsiniz.
Parol nasıl kullanılır,medication_info,Parol yetişkinler için 8 saatte bir 500mg.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Doktor randevusu,appointment_booking,MHRS sisteminden randevu alabilirsiniz.
Bu sabah göğsümde ağrı,symptom_inquiry,"Göğüs ağrısı ciddi olabilir, doktora başvurun."
Randevu almak istiyorum,appointment_booking,Hangi bölümden randevu almak istiyorsunuz?
Başım ağrıyor çok şiddetli,symptom_inquiry,"Baş ağrısı stres, uykusuzluk veya dehidratasyon sebebiyle olabilir."
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Bu sabah ateşim var,symptom_inquiry,Ateş vücudun enfeksiyonla mücadele ettiğini gösterir. Bol sıvı alın.
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Nefes alamıyorum,emergency,Nefes darlığında hemen acile başvurun!
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Acil randevu,appointment_booking,Acil durumlar için acil servise başvurun.
Vitamin D eksikliği,medication_info,Vitamin D için güneş ışığı ve takviye önemli.
Kaza geçirdim,emergency,Kaza sonrası hemen sağlık ekibi çağırın.
Sağlıklı beslenme,general_health,Dengeli beslenme için çeşitli besin grupları tüketin.
Aspirin yan etkileri,medication_info,"Aspirin mide tahriş edebilir, dikkatli kullanın."
Kardiyoloji randevusu,appointment_booking,Kardiyoloji için 182'yi arayabilirsiniz.
Hangi doktora gideyim,doctor_recommendation,Şikayetinize göre doktor önerebilirim.
Şiddetli ağrı,emergency,Şiddetli ağrı için acil servise gidin.
Su içme,general_health,Günde en az 8 bardak su için.
